Book,Author,Dept Name
Engineering Book 91,Unknown Author,Biomedical Engineering
Engineering Book 92,Unknown Author,Civil Engineering
Engineering Book 93,Unknown Author,Biomedical Engineering
Engineering Book 94,Unknown Author,Biomedical Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 96,Unknown Author,Materials Science
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Engineering Book 98,Unknown Author,Aerospace Engineering
Engineering Book 99,Unknown Author,Civil Engineering
Engineering Book 100,Unknown Author,Environmental Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 102,Unknown Author,Civil Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 104,Unknown Author,Aerospace Engineering
Engineering Book 105,Unknown Author,Aerospace Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 108,Unknown Author,Chemical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 114,Unknown Author,Civil Engineering
Engineering Book 115,Unknown Author,Aerospace Engineering
Engineering Book 116,Unknown Author,Chemical Engineering
Engineering Book 117,Unknown Author,Aerospace Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 119,Unknown Author,Civil Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 122,Unknown Author,Aerospace Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 124,Unknown Author,Aerospace Engineering
Engineering Book 125,Unknown Author,Materials Science
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 127,Unknown Author,Chemical Engineering
Engineering Book 128,Unknown Author,Civil Engineering
Engineering Book 129,Unknown Author,Civil Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 131,Unknown Author,Industrial Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 133,Unknown Author,Environmental Engineering
Engineering Book 134,Unknown Author,Environmental Engineering
Engineering Book 135,Unknown Author,Civil Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 139,Unknown Author,Aerospace Engineering
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Engineering Book 141,Unknown Author,Civil Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 145,Unknown Author,Chemical Engineering
Engineering Book 146,Unknown Author,Chemical Engineering
Engineering Book 147,Unknown Author,Chemical Engineering
Engineering Book 148,Unknown Author,Civil Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 150,Unknown Author,Aerospace Engineering
Engineering Book 151,Unknown Author,Industrial Engineering
Engineering Book 152,Unknown Author,Materials Science
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 154,Unknown Author,Aerospace Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 156,Unknown Author,Industrial Engineering
Engineering Book 157,Unknown Author,Aerospace Engineering
Engineering Book 158,Unknown Author,Biomedical Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 160,Unknown Author,Environmental Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 162,Unknown Author,Materials Science
Engineering Book 163,Unknown Author,Aerospace Engineering
Engineering Book 164,Unknown Author,Aerospace Engineering
Engineering Book 165,Unknown Author,Aerospace Engineering
Engineering Book 166,Unknown Author,Biomedical Engineering
Engineering Book 167,Unknown Author,Industrial Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 169,Unknown Author,Chemical Engineering
Engineering Book 170,Unknown Author,Chemical Engineering
Engineering Book 171,Unknown Author,Industrial Engineering
Engineering Book 172,Unknown Author,Civil Engineering
Engineering Book 173,Unknown Author,Chemical Engineering
Engineering Book 174,Unknown Author,Biomedical Engineering
Engineering Book 175,Unknown Author,Biomedical Engineering
Engineering Book 176,Unknown Author,Civil Engineering
Engineering Book 177,Unknown Author,Environmental Engineering
Engineering Book 178,Unknown Author,Materials Science
Heat Transfer,J.P. Holman,Mechanical Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 181,Unknown Author,Aerospace Engineering
Engineering Book 182,Unknown Author,Biomedical Engineering
Engineering Book 183,Unknown Author,Materials Science
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 185,Unknown Author,Civil Engineering
Engineering Book 186,Unknown Author,Environmental Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 189,Unknown Author,Industrial Engineering
Engineering Book 190,Unknown Author,Materials Science
Engineering Book 191,Unknown Author,Materials Science
Engineering Book 192,Unknown Author,Materials Science
Engineering Book 193,Unknown Author,Aerospace Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 197,Unknown Author,Environmental Engineering
Engineering Book 198,Unknown Author,Environmental Engineering
Engineering Book 199,Unknown Author,Materials Science
Engineering Book 200,Unknown Author,Biomedical Engineering
Engineering Book 201,Unknown Author,Biomedical Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 203,Unknown Author,Chemical Engineering
Engineering Book 204,Unknown Author,Civil Engineering
Engineering Book 205,Unknown Author,Materials Science
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Engineering Book 207,Unknown Author,Materials Science
Engineering Book 208,Unknown Author,Environmental Engineering
Engineering Book 209,Unknown Author,Aerospace Engineering
Engineering Book 210,Unknown Author,Industrial Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 212,Unknown Author,Chemical Engineering
Engineering Book 213,Unknown Author,Biomedical Engineering
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 215,Unknown Author,Chemical Engineering
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 217,Unknown Author,Industrial Engineering
Engineering Book 218,Unknown Author,Chemical Engineering
Engineering Book 219,Unknown Author,Chemical Engineering
Engineering Book 220,Unknown Author,Civil Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 222,Unknown Author,Chemical Engineering
Engineering Book 223,Unknown Author,Aerospace Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 225,Unknown Author,Industrial Engineering
Engineering Book 226,Unknown Author,Aerospace Engineering
Engineering Book 227,Unknown Author,Materials Science
Engineering Book 228,Unknown Author,Aerospace Engineering
Engineering Book 229,Unknown Author,Biomedical Engineering
Engineering Book 230,Unknown Author,Biomedical Engineering
Engineering Book 231,Unknown Author,Civil Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 233,Unknown Author,Aerospace Engineering
Engineering Book 234,Unknown Author,Biomedical Engineering
Engineering Book 235,Unknown Author,Aerospace Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 237,Unknown Author,Chemical Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 239,Unknown Author,Civil Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 241,Unknown Author,Materials Science
Engineering Book 242,Unknown Author,Industrial Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 244,Unknown Author,Materials Science
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 246,Unknown Author,Materials Science
Engineering Book 247,Unknown Author,Industrial Engineering
Engineering Book 248,Unknown Author,Chemical Engineering
Engineering Book 249,Unknown Author,Industrial Engineering
Engineering Book 250,Unknown Author,Environmental Engineering
Engineering Book 251,Unknown Author,Aerospace Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
The Art of Electronics,"Paul Horowitz, Winfield Hill",Electrical Engineering
Engineering Book 254,Unknown Author,Biomedical Engineering
Engineering Book 255,Unknown Author,Industrial Engineering
Engineering Book 256,Unknown Author,Materials Science
Engineering Book 257,Unknown Author,Industrial Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 261,Unknown Author,Industrial Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 264,Unknown Author,Industrial Engineering
Engineering Book 265,Unknown Author,Materials Science
Engineering Book 266,Unknown Author,Chemical Engineering
Engineering Book 267,Unknown Author,Biomedical Engineering
Engineering Book 268,Unknown Author,Industrial Engineering
Engineering Book 269,Unknown Author,Civil Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 272,Unknown Author,Aerospace Engineering
Engineering Book 273,Unknown Author,Environmental Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 275,Unknown Author,Chemical Engineering
Engineering Book 276,Unknown Author,Chemical Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 278,Unknown Author,Biomedical Engineering
Engineering Book 279,Unknown Author,Civil Engineering
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 281,Unknown Author,Industrial Engineering
Engineering Book 282,Unknown Author,Industrial Engineering
Engineering Book 283,Unknown Author,Aerospace Engineering
Engineering Book 284,Unknown Author,Aerospace Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 286,Unknown Author,Materials Science
Engineering Book 287,Unknown Author,Industrial Engineering
Electrical Engineering 101,Darren Ashby,Electrical Engineering
The Art of Electronics,"Paul Horowitz, Winfield Hill",Electrical Engineering
Engineering Book 290,Unknown Author,Materials Science
Engineering Book 291,Unknown Author,Aerospace Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 293,Unknown Author,Materials Science
Engineering Book 294,Unknown Author,Materials Science
Engineering Book 295,Unknown Author,Materials Science
Engineering Book 296,Unknown Author,Chemical Engineering
Engineering Book 297,Unknown Author,Aerospace Engineering
Engineering Book 298,Unknown Author,Biomedical Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 300,Unknown Author,Aerospace Engineering
Engineering Book 301,Unknown Author,Industrial Engineering
Engineering Book 302,Unknown Author,Chemical Engineering
Engineering Book 303,Unknown Author,Industrial Engineering
The Art of Electronics,"Paul Horowitz, Winfield Hill",Electrical Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 306,Unknown Author,Materials Science
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 309,Unknown Author,Biomedical Engineering
Engineering Book 310,Unknown Author,Biomedical Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 312,Unknown Author,Industrial Engineering
Engineering Book 313,Unknown Author,Environmental Engineering
Engineering Book 314,Unknown Author,Chemical Engineering
Engineering Book 315,Unknown Author,Industrial Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 317,Unknown Author,Industrial Engineering
Engineering Book 318,Unknown Author,Civil Engineering
Engineering Book 319,Unknown Author,Biomedical Engineering
Engineering Book 320,Unknown Author,Civil Engineering
Engineering Book 321,Unknown Author,Materials Science
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 324,Unknown Author,Materials Science
Engineering Book 325,Unknown Author,Aerospace Engineering
Engineering Book 326,Unknown Author,Environmental Engineering
Engineering Book 327,Unknown Author,Industrial Engineering
Engineering Book 328,Unknown Author,Civil Engineering
Engineering Book 329,Unknown Author,Materials Science
Engineering Book 330,Unknown Author,Aerospace Engineering
Engineering Book 331,Unknown Author,Civil Engineering
Engineering Book 332,Unknown Author,Materials Science
Engineering Book 333,Unknown Author,Materials Science
Engineering Book 334,Unknown Author,Civil Engineering
Engineering Book 335,Unknown Author,Materials Science
Engineering Book 336,Unknown Author,Environmental Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 338,Unknown Author,Industrial Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 341,Unknown Author,Biomedical Engineering
Engineering Book 342,Unknown Author,Industrial Engineering
Engineering Book 343,Unknown Author,Industrial Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 347,Unknown Author,Environmental Engineering
Engineering Book 348,Unknown Author,Materials Science
Engineering Book 349,Unknown Author,Materials Science
Engineering Book 350,Unknown Author,Chemical Engineering
Engineering Book 351,Unknown Author,Biomedical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 354,Unknown Author,Aerospace Engineering
Engineering Book 355,Unknown Author,Chemical Engineering
Engineering Book 356,Unknown Author,Environmental Engineering
Engineering Book 357,Unknown Author,Materials Science
Engineering Book 358,Unknown Author,Industrial Engineering
Engineering Book 359,Unknown Author,Industrial Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 361,Unknown Author,Civil Engineering
Engineering Book 362,Unknown Author,Civil Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 364,Unknown Author,Environmental Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 366,Unknown Author,Civil Engineering
Engineering Book 367,Unknown Author,Environmental Engineering
Engineering Book 368,Unknown Author,Environmental Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 370,Unknown Author,Chemical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 373,Unknown Author,Environmental Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 375,Unknown Author,Biomedical Engineering
Engineering Book 376,Unknown Author,Materials Science
Engineering Book 377,Unknown Author,Biomedical Engineering
Engineering Book 378,Unknown Author,Civil Engineering
Engineering Book 379,Unknown Author,Materials Science
Engineering Book 380,Unknown Author,Industrial Engineering
Engineering Book 381,Unknown Author,Materials Science
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 383,Unknown Author,Industrial Engineering
The Art of Electronics,"Paul Horowitz, Winfield Hill",Electrical Engineering
Engineering Book 385,Unknown Author,Environmental Engineering
Engineering Book 386,Unknown Author,Industrial Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 388,Unknown Author,Materials Science
Engineering Book 389,Unknown Author,Civil Engineering
Engineering Book 390,Unknown Author,Industrial Engineering
Engineering Book 391,Unknown Author,Civil Engineering
Engineering Book 392,Unknown Author,Environmental Engineering
Engineering Book 393,Unknown Author,Environmental Engineering
Engineering Book 394,Unknown Author,Environmental Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 396,Unknown Author,Civil Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 399,Unknown Author,Chemical Engineering
Engineering Book 400,Unknown Author,Materials Science
Engineering Book 401,Unknown Author,Biomedical Engineering
Engineering Book 402,Unknown Author,Civil Engineering
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 404,Unknown Author,Industrial Engineering
Engineering Book 405,Unknown Author,Environmental Engineering
Engineering Book 406,Unknown Author,Industrial Engineering
Engineering Book 407,Unknown Author,Civil Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 410,Unknown Author,Industrial Engineering
Engineering Book 411,Unknown Author,Chemical Engineering
Engineering Book 412,Unknown Author,Aerospace Engineering
Engineering Book 413,Unknown Author,Environmental Engineering
Engineering Book 414,Unknown Author,Biomedical Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 416,Unknown Author,Environmental Engineering
Engineering Book 417,Unknown Author,Chemical Engineering
Engineering Book 418,Unknown Author,Industrial Engineering
Engineering Book 419,Unknown Author,Chemical Engineering
Engineering Book 420,Unknown Author,Environmental Engineering
Engineering Book 421,Unknown Author,Materials Science
Engineering Book 422,Unknown Author,Industrial Engineering
Engineering Book 423,Unknown Author,Environmental Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
The Art of Electronics,"Paul Horowitz, Winfield Hill",Electrical Engineering
Engineering Book 426,Unknown Author,Environmental Engineering
Engineering Book 427,Unknown Author,Chemical Engineering
Engineering Book 428,Unknown Author,Civil Engineering
Engineering Book 429,Unknown Author,Industrial Engineering
Engineering Book 430,Unknown Author,Biomedical Engineering
Engineering Book 431,Unknown Author,Aerospace Engineering
Engineering Book 432,Unknown Author,Environmental Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 435,Unknown Author,Materials Science
Engineering Book 436,Unknown Author,Biomedical Engineering
Engineering Book 437,Unknown Author,Chemical Engineering
Engineering Book 438,Unknown Author,Environmental Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 440,Unknown Author,Chemical Engineering
Engineering Book 441,Unknown Author,Industrial Engineering
Engineering Book 442,Unknown Author,Environmental Engineering
Engineering Book 443,Unknown Author,Biomedical Engineering
Engineering Book 444,Unknown Author,Chemical Engineering
Engineering Book 445,Unknown Author,Materials Science
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 447,Unknown Author,Chemical Engineering
Engineering Book 448,Unknown Author,Materials Science
Engineering Book 449,Unknown Author,Aerospace Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 454,Unknown Author,Materials Science
Engineering Book 455,Unknown Author,Environmental Engineering
Engineering Book 456,Unknown Author,Materials Science
Engineering Book 457,Unknown Author,Aerospace Engineering
Engineering Book 458,Unknown Author,Industrial Engineering
Engineering Book 459,Unknown Author,Biomedical Engineering
Engineering Book 460,Unknown Author,Chemical Engineering
Engineering Book 461,Unknown Author,Environmental Engineering
Engineering Book 462,Unknown Author,Aerospace Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Engineering Book 464,Unknown Author,Aerospace Engineering
Engineering Book 465,Unknown Author,Materials Science
Engineering Book 466,Unknown Author,Aerospace Engineering
Engineering Book 467,Unknown Author,Chemical Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 469,Unknown Author,Materials Science
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 472,Unknown Author,Chemical Engineering
Engineering Book 473,Unknown Author,Environmental Engineering
Engineering Book 474,Unknown Author,Environmental Engineering
Engineering Book 475,Unknown Author,Biomedical Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 477,Unknown Author,Environmental Engineering
Engineering Book 478,Unknown Author,Chemical Engineering
Engineering Book 479,Unknown Author,Industrial Engineering
Engineering Book 480,Unknown Author,Aerospace Engineering
Engineering Book 481,Unknown Author,Biomedical Engineering
Engineering Book 482,Unknown Author,Biomedical Engineering
Engineering Book 483,Unknown Author,Chemical Engineering
